id;name;lat;lon;category;subcategory;wheelchair;source
osm:node_227010766;Eni;45.618915;9.282171;amenity;fuel;;osm_node
osm:node_261675940;Scuola Agraria del Parco di Monza;45.6008122;9.2723318;amenity;school;;osm_node
osm:node_346163428;Biblioteca Monza - Triante;45.5831674;9.2553114;amenity;library;;osm_node
osm:node_346187235;Monza 6;45.5684917;9.2416796;amenity;post_office;;osm_node
osm:node_346339847;Monza Centro Via Gramsci;45.5817617;9.2710485;amenity;parking;limited;osm_node
osm:node_346350532;Biblioteca Civica - Monza;45.5838734;9.2724811;amenity;library;;osm_node
osm:node_346350998;Liceo Classico Bartolomeo Zucchi;45.5836418;9.2727905;amenity;school;;osm_node
osm:node_370421722;Borgo Bergamo Parking;45.584812;9.2848575;amenity;parking;;osm_node
osm:node_455980205;McDonald's;45.5720221;9.2475957;amenity;fast_food;yes;osm_node
osm:node_455980207;Capitol;45.5866863;9.2744607;amenity;cinema;;osm_node
osm:node_552865217;Farmacia Cederna;45.5799797;9.2971707;amenity;pharmacy;;osm_node
osm:node_552865229;Farmacia Comunale n° 6;45.5794855;9.3027766;amenity;pharmacy;;osm_node
osm:node_553075448;Parafarmacia Tutto Salute;45.5707985;9.2841577;amenity;pharmacy;;osm_node
osm:node_553075453;Farmacia Basaglia;45.5743064;9.2827778;amenity;pharmacy;;osm_node
osm:node_554601719;Farmacia Americana;45.5778881;9.282494;amenity;pharmacy;yes;osm_node
osm:node_560696734;Parcheggio di Piazza Trento e Trieste;45.5829537;9.272952;amenity;parking;;osm_node
osm:node_610505816;Farmacia Comunale n. 1;45.5708907;9.2447598;amenity;pharmacy;;osm_node
osm:node_632830368;Teatro Villoresi;45.5869186;9.2766557;amenity;theatre;;osm_node
osm:node_855900412;Bici;45.5732457;9.3076799;amenity;bicycle_parking;;osm_node
osm:node_869673248;FCC - Cancelleria all'ingrosso;45.5632804;9.2893419;shop;stationery;;osm_node
osm:node_1603484637;Banca Intesa San Paolo;45.5794845;9.3002571;amenity;bank;;osm_node
osm:node_1694988360;Bar le Monelle;45.6001505;9.2575481;amenity;cafe;;osm_node
osm:node_1694988363;Tre tempi;45.5982322;9.2558641;amenity;restaurant;;osm_node
osm:node_1694988367;Blanc Bakery Pizza Food & Wine Bar;45.6000098;9.2594088;amenity;restaurant;;osm_node
osm:node_1695387293;Giardini di Auchan;45.5900646;9.2503561;tourism;information;;osm_node
osm:node_1700722632;Carrozzeria Lari;45.5973406;9.2556595;shop;car_repair;;osm_node
osm:node_1700723053;Monumento agli Alpini;45.5957238;9.2542741;historic;memorial;;osm_node
osm:node_1701772601;Fabbro De Luise;45.5865829;9.242902;craft;metal_construction;;osm_node
osm:node_1907924208;Intesa San Paolo;45.6010849;9.2589213;amenity;bank;;osm_node
osm:node_1979774216;Pittarello;45.5722703;9.2474182;shop;shoes;;osm_node
osm:node_2017312519;Parcheggio Esselunga;45.569847;9.246328;amenity;parking;;osm_node
osm:node_2031543093;Esselunga;45.5785678;9.2829493;amenity;parking_entrance;;osm_node
osm:node_2066375608;Credito Artigiano;45.5905677;9.3021521;amenity;bank;;osm_node
osm:node_2098656817;MoBLUG;45.5819338;9.2951995;leisure;club;;osm_node
osm:node_2164376906;Monumento a Mosè Bianchi;45.5863582;9.2754115;tourism;artwork;;osm_node
osm:node_2245405325;Farmacia Rondò;45.5899542;9.2488425;amenity;pharmacy;;osm_node
osm:node_2257692654;TiK Tak;45.5794393;9.2595643;amenity;bar;;osm_node
osm:node_2311466493;Punto Enel;45.5825319;9.3117267;office;energy_supplier;;osm_node
osm:node_2317700789;Osteria del Cavolo;45.5829339;9.2764686;amenity;restaurant;;osm_node
osm:node_2317700790;Nikky;45.5829542;9.2766781;amenity;restaurant;;osm_node
osm:node_2344578315;Uhaz;45.5781283;9.2721977;amenity;cafe;;osm_node
osm:node_2344578318;La Stazione del Caffè;45.5777517;9.2728058;amenity;cafe;yes;osm_node
osm:node_2344578465;Panificio Crivelli;45.5838385;9.2791309;shop;bakery;limited;osm_node
osm:node_2344594321;Flor Shop Monza;45.5883791;9.2851607;shop;florist;;osm_node
osm:node_2344594372;La Voliera per Umani;45.5962241;9.2830913;tourism;artwork;;osm_node
osm:node_2344609635;Centro Ippico S. Maria;45.6050832;9.2837752;leisure;horse_riding;;osm_node
osm:node_2344609647;Lo Scrittore;45.6051975;9.2872528;tourism;artwork;limited;osm_node
osm:node_2358901485;Monumento ai Caduti del Lavoro;45.5781788;9.272489;historic;memorial;;osm_node
osm:node_2358901666;Largo IV Novembre;45.58427;9.2741611;amenity;parking;;osm_node
osm:node_2358901667;Teodolinda;45.5828831;9.2741617;amenity;cafe;;osm_node
osm:node_2358901670;Niena;45.5853811;9.2740358;amenity;restaurant;;osm_node
osm:node_2358901671;Trattoria Caprese;45.5848798;9.2746925;amenity;restaurant;yes;osm_node
osm:node_2358901714;Dentix;45.5843058;9.2774698;amenity;dentist;;osm_node
osm:node_2358901719;UBI Banca Popolare di Bergamo;45.5823314;9.2781237;amenity;bank;;osm_node
osm:node_2358901792;Lenry;45.5830242;9.2767801;amenity;cafe;;osm_node
osm:node_2358901795;L'arte del grano;45.5831106;9.2769087;shop;bakery;;osm_node
osm:node_2358901803;Monumento a Giuseppe Garibaldi;45.5849154;9.277626;historic;memorial;;osm_node
osm:node_2358901843;Caffè Sport;45.5851877;9.2782265;amenity;cafe;;osm_node
osm:node_2358901876;Bar del Centro;45.5829581;9.2732058;amenity;cafe;limited;osm_node
osm:node_2358901880;Luna Cafè;45.5833438;9.2742323;amenity;cafe;;osm_node
osm:node_2358901884;United Colors of Benetton;45.5842838;9.2757014;shop;clothes;;osm_node
osm:node_2358901893;Monza 2;45.5820221;9.2751646;amenity;post_office;;osm_node
osm:node_2358901897;Zara;45.5837468;9.2743421;shop;clothes;yes;osm_node
osm:node_2358901901;Farmacia Duse;45.5847934;9.2750068;amenity;pharmacy;no;osm_node
osm:node_2358901903;Moderno;45.5845415;9.2753715;amenity;cafe;;osm_node
osm:node_2358901906;Stroili Oro;45.5844417;9.2755051;shop;jewelry;no;osm_node
osm:node_2358901908;mistertea;45.5839045;9.2773508;amenity;cafe;;osm_node
osm:node_2358901912;Caffè della Signora;45.5822157;9.2804432;amenity;cafe;;osm_node
osm:node_2358901914;Sephora;45.5811121;9.273505;shop;cosmetics;;osm_node
osm:node_2358901916;G di Giochi;45.5792266;9.2727269;shop;toys;;osm_node
osm:node_2358977344;Turnè;45.583921;9.2825177;amenity;bar;;osm_node
osm:node_2359052100;La fioraia;45.585239;9.2757941;shop;florist;;osm_node
osm:node_2359092344;Paesaggi Altrove;45.5813098;9.2764613;shop;travel_agency;;osm_node
osm:node_2359092425;Foot Locker;45.5842977;9.2754804;shop;shoes;;osm_node
osm:node_2359092428;San Michele Arcangelo;45.5850373;9.274097;historic;memorial;;osm_node
osm:node_2359092433;Dori;45.5850883;9.2743487;shop;bakery;;osm_node
osm:node_2359092436;Caffè San Paolo;45.584988;9.2743389;amenity;cafe;;osm_node
osm:node_2359092487;Fideuram;45.585086;9.2739416;amenity;bank;;osm_node
osm:node_2359207160;Wibe;45.5827024;9.2768448;amenity;bar;;osm_node
osm:node_2359207161;Liquors;45.5828392;9.2766135;amenity;bar;;osm_node
osm:node_2359207173;Uova e Farina;45.5843526;9.2805151;shop;deli;;osm_node
osm:node_2359207174;L'Arco del Re;45.5838842;9.2795354;shop;deli;;osm_node
osm:node_2359207263;Le Cucine di Via Zucchi;45.5860292;9.2746842;amenity;restaurant;;osm_node
osm:node_2359207264;Le Delizie di Via Zucchi;45.5859128;9.2745934;shop;bakery;no;osm_node
osm:node_2359207304;Farmacia Garibaldi;45.5844612;9.2771025;amenity;pharmacy;;osm_node
